7672,None,Tax Division; ,12-1393; 
7673,None,Civil Division; ,12-1391; 
7674,None,Criminal Division; ,12-1390; 
7675,None,Criminal Division; ,12-1389; 
7676,None,Antitrust Division; ,12-1388; 
7677,None,Tax Division; ,12-1387; 
7678,None,Civil Division; ,12-1386; 
7679,None,Office of the Attorney General; ,12-1385; 
7680,None,Environment and Natural Resources Division; ,12-1384; 
7681,None,Tax Division; ,12-1383; 
7682,None,Criminal Division; ,12-1381; 
7683,None,Criminal Division; ,12-1378; 
7684,None,Criminal Division; ,11-1379; 
7685,None,National Security Division (NSD); ,12-1380; 
7686,None,Tax Division; ,12-1377; 
7687,None,Antitrust Division; ,12-1376; 
7688,None,Antitrust Division; ,12-1375; 
7689,None,Civil Rights Division; Civil Rights - Employment Litigation Section; ,12-1374; 
7690,None,Civil Rights Division; ,12-1373; 
7691,None,Tax Division; ,12-1372; 
7692,None,Office of the Attorney General; ,12-1369; 
7693,None,Community Oriented Policing Services (COPS); ,12-1368; 
7694,None,Criminal Division; ,12-1365; 
7695,Consumer Protection; StopFraud; ,Civil Division; ,12-1364; 
7696,None,Antitrust Division; ,12-1363; 
7697,None,Antitrust Division; ,12-1362; 
7698,None,Criminal Division; ,12-1359; 
7699,None,Antitrust Division; ,12-1360; 
7700,None,Criminal Division; ,12-1358; 
7701,None,Criminal Division; ,12-1357; 
7702,None,Criminal Division; ,12-1354; 
7703,Hate Crimes; ,Civil Rights Division; ,12-1352; 
7704,None,Environment and Natural Resources Division; ,12-1353; 
7705,None,Environment and Natural Resources Division; ,12-1351; 
7706,None,Criminal Division; ,12-1350; 
7707,None,Environment and Natural Resources Division; ,12-1349; 
7708,None,Civil Rights Division; Civil Rights - Disability Rights Section; ,12-1348; 
7709,None,National Security Division (NSD); ,12-1347; 
7710,StopFraud; ,Criminal Division; ,12-1346; 
7711,None,Criminal Division; ,12-1345; 
7712,None,Tax Division; ,12-1344; 
7713,None,Tax Division; ,12-1343; 
7714,None,Civil Rights Division; Civil Rights - Educational Opportunities Section; ,12-1342; 
7715,None,Criminal Division; ,12-1341; 
7716,None,Criminal Division; ,12-1340; 
7717,None,Environment and Natural Resources Division; ,12-1339; 
7718,None,Criminal Division; ,12-1336; 
7719,None,Environment and Natural Resources Division; ,12-1338; 
7720,None,Criminal Division; ,12-1335; 
7721,Hate Crimes; ,Civil Rights Division; ,12-1334; 
7722,None,Environment and Natural Resources Division; ,12-1333; 
7723,None,Criminal Division; ,12-1332; 
7724,StopFraud; ,Antitrust Division; ,12-1330; 
7725,None,Civil Division; ,12-1331; 
7726,None,Criminal Division; ,12-1329; 
7727,Consumer Protection; ,Civil Division; ,12-1326; 
7728,None,Tax Division; ,12-1325; 
7729,None,Civil Rights Division; ,12-1324; 
7730,None,Tax Division; ,12-1323; 
7731,None,Criminal Division; ,12-1322; 
7732,None,Criminal Division; ,12-1321; 
7733,None,Civil Division; ,12-1320; 
7734,None,Criminal Division; ,12-1318; 
7735,Consumer Protection; ,Civil Division; ,12-1317; 
7736,None,Tax Division; ,12-1316; 
7737,None,Criminal Division; ,12-1314; 
7738,None,Tax Division; ,12-1315; 
7739,None,Environment and Natural Resources Division; ,12-1313; 
7740,None,Civil Rights Division; ,12-1312; 
7741,None,Criminal Division; ,12-1311; 
7742,None,Civil Rights Division; ,12-1310; 
7743,None,Civil Division; ,12-1309; 
7744,None,Criminal Division; ,12-1308; 
7745,Consumer Protection; ,Civil Division; ,12-1307; 
7746,StopFraud; ,Antitrust Division; ,12-1306; 
7747,None,Tax Division; ,12-1305; 
7748,None,Tax Division; ,12-1304; 
7749,None,Criminal Division; ,12-1303; 
7750,None,Tax Division; ,12-1302; 
7751,None,Tax Division; ,12-1301; 
7752,None,Civil Division; ,12-1300; 
7753,None,Antitrust Division; ,12-1298; 
7754,None,Criminal Division; ,12-1297; 
7755,None,Criminal Division; ,12-1296; 
7756,None,Civil Rights Division; ,12-1295; 
7757,None,Criminal Division; ,12-1294; 
7758,None,Tax Division; ,12-1293; 
7759,None,Civil Rights Division; ,12-1292; 
7760,None,Civil Division; ,12-1291; 
7761,None,Civil Rights Division; Civil Rights - Employment Litigation Section; ,12-1290; 
7762,None,Civil Rights Division; ,12-1289; 
7763,None,Criminal Division; ,12-1288; 
7764,None,Tax Division; ,12-1287; 
7765,None,Civil Rights Division; ,12-1286; 
7766,None,Civil Rights Division; ,12-1285; 
7767,None,Criminal Division; ,12-1284; 
7768,None,Tax Division; ,12-1283; 
7769,None,Civil Rights Division; Civil Rights - Disability Rights Section; ,12-1282; 
7770,None,Civil Rights Division; ,12-1281; 
7771,None,Criminal Division; ,12-1279; 
7772,None,Tax Division; ,12-1278; 
7773,StopFraud; ,Criminal Division; ,12-1275; 
7774,None,Civil Rights Division; ,12-1274; 
7775,None,Civil Rights Division; ,12-1272; 
7776,None,Civil Rights Division; ,12-1271; 
7777,None,Civil Rights Division; ,12-1270; 
7778,None,Civil Division; ,12-1268; 
7779,Servicemembers Initiative; ,Civil Rights Division; ,12-1267; 
7780,StopFraud; ,Criminal Division; ,12-1266; 
7781,None,Civil Rights Division; Civil Rights - Employment Litigation Section; ,12-1265; 
7782,None,Environment and Natural Resources Division; ,12-1264; 
7783,None,Civil Rights Division; ,12-1263; 
7784,None,Criminal Division; ,12-1262; 
